naziv,maticnibroj,mesto,sifradelatnosti,datumregistracije,lat,lon,sajt,postojanje,prilagodljivost,pismo,stranijezik
"Друштво за заштиту животиња и природе ""Еколибријум""",28168748,Панчево,9499,18.03.15 08:54,,,,1,,,
"""КомуникАрт""",28170971,Панчево,9499,08.04.15 09:14,,,,1,,,
"Удружење  ""БНС 1765""",28171072,Банатско Ново Село,9499,09.04.15 08:53,,,,1,,,
"Центар за образовање и професионално усавршавање ""EduPro""",28171285,Панчево,9499,14.04.15 08:09,,,,1,,,
"УДРУЖЕЊЕ ГРАЂАНА ""МУЗЕЈ ПИВАРСТВА ЂОРЂЕ ВАЈФЕРТ""",28172052,Панчево,9499,24.04.15 08:02,,,,1,,,
УНИЈА МЛАДИХ ГРАДА ПАНЧЕВА,28172583,Панчево,9499,30.04.15 08:25,,,,1,,,
"""Друштво Воћара, Виноградара и Дестилера Старчево""",28174926,Старчево,9499,01.06.15 08:52,,,,1,,,
"Удружење""Љубитеља малог фудбала""",28175531,Панчево,9499,08.06.15 08:33,,,,1,,,
"УДРУЖЕЊЕ ,,ДО ДЕТАЉА""",28176848,Панчево,9412,24.06.15 08:35,,,,1,,,
"Удружење жена ""Неолит Старчево""",28176902,Старчево,9499,25.06.15 12:11,,,,1,,,
"Културно-уметничко друштво ""Банатски вез""",28183623,Долово,9499,08.10.15 08:00,,,,1,,,
"""Књижевни Клуб ПРОТА ВАСА ЖИВКОВИЋ""",28185464,Панчево,9499,03.11.15 08:46,,,,1,,,
"""ЕТНО КУТАК 2015 КАЧАРЕВО""",28186711,Качарево,9499,18.11.15 12:45,,,,1,,,
УДРУЖЕЊЕ МАРАТОНЦИ,28192487,Панчево,9499,27.01.16 02:10,,,,1,,,
"Хуманитарна организација ""Светионик""",28196121,Панчево,9499,26.02.16 02:06,,,,1,,,
"ЛОВАЧКО ДРУШТВО ""СТРЕЛА"" БАНАТСКИ БРЕСТОВАЦ",28197870,Банатски Брестовац,9499,16.03.16 08:47,,,,1,,,
УДРУЖЕЊЕ ЖЕНА ПАНЧЕВКЕ ГОРЊИ ГРАД,28198167,Панчево,9499,17.03.16 01:44,,,,1,,,
УНИЈА МЛАДИХ ЈАБУКА,28198647,Јабука,9499,22.03.16 10:11,,,,1,,,
Омладинско удружење Банатски Брестовац,28200455,Банатски Брестовац,9499,08.04.16 01:29,,,,1,,,
"Удружење жена ""Златна јабука""",28204531,Јабука,9499,03.06.16 02:47,,,,1,,,
"""ЖЕНА ТО МОЖЕ""",28227043,Панчево,9499,30.03.17 02:27,,,,1,,,
"Удружење Руса и њихових потомака ""РОМАШКА""",28229542,Панчево,9499,04.05.17 01:50,,,,1,,,
"""Центар за едукацију и транспарентност""",28230150,Долово,9499,12.05.17 09:57,,,,1,,,
УДРУЖЕЊЕ АНТИФАШИСТА ПАНЧЕВО,28232594,Панчево,9499,20.06.17 02:51,,,,1,,,
"УДРУЖЕЊЕ ""МЛАДИХ ИВАНОВО""",28234201,Иваново,9499,14.07.17 12:12,,,,1,,,
"""ФЕСТИВАЛ СЛАНИНЕ-1988-СЛАНИНИЈАДА""",28243138,Качарево,9499,05.12.17 12:49,,,,1,,,
АКТИВ МЛАДИХ ДОЛОВО,28252099,Долово,9499,12.03.18 03:36,,,,1,,,
Плесни студио Салса Нуева,28253591,Панчево,9499,27.03.18 11:57,,,,1,,,
УДРУЖЕЊЕ РОМА ЈАБУКА,28253842,Јабука,9499,29.03.18 12:24,,,,1,,,
"УДРУЖЕЊЕ ""ЗЕЛЕНИ МОСТ""",28255632,Банатски Брестовац,9499,24.04.18 01:34,,,,1,,,
ДОЛОВАЧКИ ЛИПИЦАНЕР,28260032,Долово,9499,29.06.18 12:57,,,,1,,,
"Културно уметничко друштво ""ГЛЕНФОР АМБАСАДОР"" ДОЛОВО",28262043,Долово,9499,06.08.18 11:41,,,,1,,,
"""Удружење за социјални, емоционални, ментални развој и едукацију младих-iTeentity""",28262469,Панчево,9499,13.08.18 01:03,,,,1,,,
УДРУЖЕЊЕ РУКЕ,28263104,Панчево,9499,28.08.18 11:45,,,,1,,,
"УДРУЖЕЊЕ ГРАЂАНА ""ФАБРИКА ЗНАЊА""",28266766,Панчево,9499,25.10.18 12:58,,,,1,,,
"Удружење грађана ""РУСКО СПОМЕНИЧКО НАСЛЕЂЕ СРБИЈЕ""",28271174,Панчево,9499,09.01.19 02:53,,,,1,,,
"Удружење грађана ""Завичај у срцу""",28272472,Качарево,9499,25.01.19 02:18,,,,1,,,
ОДРЕД ИЗВИЂАЧА ''ЦРНЕ РОДЕ'',28272677,Панчево,9499,29.01.19 10:50,,,,1,,,
ЦЕНТАР ЗА ПРОМОЦИЈУ ДРУШТВЕНИХ ДЕЛАТНОСТИ,28276729,Панчево,9499,13.03.19 02:38,,,,1,,,
"ЕТНО УДРУЖЕЊЕ ""ЖИСЕЛ""",28278659,Омољица,9499,04.04.19 08:18,,,,1,,,
Институт за истраживање корупције Кареја,28279175,Панчево,9499,11.04.19 10:07,,,,1,,,
"""Друштво српско-руског пријатељства ГРОФ САВА""",28280025,Панчево,9499,23.04.19 02:42,,,,1,,,
"Удружење произвођача и љубитеља традиционалних производа, воћара и виноградара ""Равница""",28281501,Панчево,9499,22.05.19 01:56,,,,1,,,
"""Демократско Удружење Рома Србије""",28088817,Панчево,9499,26.07.12 09:48,,,,1,,,
"""Градско Удружење свих Пензионера Панчева""",28096526,Панчево,9499,21.11.12 11:02,,,,1,,,
Српски ратни ветерани Панчево,28098499,Панчево,9499,13.12.12 10:42,,,,1,,,
Панчевачки филмски фестивал,28142609,Панчево,9499,11.04.14 08:29,,,,1,,,
"КУЛТУРНО УМЕТНИЧКО ДРУШТВО""ДР.РАДУ ФЛОРА""",08680795,Банатско Ново Село,9499,17.03.11 09:57,,,,1,,,
"Удружење грађана ""Грађанска акција Панчево""",08758654,Панчево,9499,18.03.11 08:57,,,,1,,,
Добровољно ватрогасно друштво ПАНЧЕВО,08103046,Панчево,9499,21.03.11 01:14,,,,1,,,
Омладинска зона,28046774,Панчево,9499,19.05.11 09:25,,,,1,,,
"Удружење жена ""Омољачке фрајле""",28203268,Омољица,9499,18.05.16 12:59,,,,1,,,
"Културно уметничко друштво ""Станко Пауновић"" НИС Рафинерије нафте Панчево",08089400,Панчево,9412,21.06.11 09:35,,,,1,,,
УНИЈА СТУДЕНАТА ГРАДА ПАНЧЕВА,28021348,Панчево,9499,19.08.10 01:58,,,,1,,,
Удружење параплегичара и квадриплегичара јужног Баната,08685088,Панчево,9499,22.11.10 11:10,,,,1,,,
АПОТЕКАРСКО ДРУШТВО ЈУЖНОГ БАНАТА,28030827,Панчево,9412,31.12.10 10:28,,,,1,,,
ХУМАНИТАРНИ ФОНД СРЦЕ ПАНЧЕВО,08712506,Панчево,9499,16.02.11 09:39,,,,1,,,
"Културно-уметничко друштво ""Абрашевић"" Панчево",08088233,Панчево,9499,01.03.11 09:55,,,,1,,,
"""Омладинска организација Глогоњ""",28092318,Глогоњ,9499,03.10.12 09:59,,,,1,,,
"""Туристичко друштво Качарево""",28150989,Качарево,9499,11.08.14 08:54,,,,1,,,
Добровољно ватрогасно друштво Војловица,08088411,Панчево,9499,25.06.10 08:46,,,,1,,,
"Удружење грађана за развој еколошке свести и заштиту животне средине ""ЕКОПАН""",08909385,Панчево,9499,06.08.10 09:08,,,,1,,,
"Удружење грађана ""Грађанска Асоцијација Младих Активиста"".",28021143,Панчево,9499,12.08.10 10:00,,,,1,,,
"""МЕЂУОПШТИНСКА ОРГАНИЗАЦИЈА САВЕЗА СЛЕПИХ СРБИЈЕ - ПАНЧЕВО""",08061491,Панчево,9499,16.08.10 09:53,,,,1,,,
"Удружење љубитеља мотоциклизма - ""МК ТОРНАДО"" Качарево",28021941,Качарево,9499,26.08.10 10:03,,,,1,,,
Удружење ратних војних инвалида Града Панчево,08631140,Панчево,9499,10.09.10 11:18,,,,1,,,
"Кампинг караванинг клуб ""Београд""",08174873,Банатски Брестовац,9499,27.09.10 09:36,,,,1,,,
"""Удружење за неговање традиције Педесетпрве механизоване бригаде""",08772878,Панчево,9499,11.11.10 11:51,,,,1,,,
"УДРУЖЕЊЕ ""ЕТНО ЕКО ТИМ""",28029349,Панчево,9499,16.12.10 09:51,,,,1,,,
"Удружење оболелих од мултипле склерозе ""Јужни Банат""",08640416,Панчево,9499,21.12.10 09:45,,,,1,,,
"ДРУШТВО ПЧЕЛАРА ""СТАРЧЕВО"" ИЗ СТАРЧЕВА",08782598,Старчево,9499,05.01.11 10:28,,,,1,,,
"Удружење ""Вардар Качарево""",28048947,Качарево,9499,02.06.11 11:27,,,,1,,,
"Удружење грађана ""Наранџасти""",08903085,Панчево,9499,12.08.11 11:38,,,,1,,,
"""Паметно""",28073976,Панчево,9499,14.02.12 01:46,,,,1,,,
АСОЦИЈАЦИЈА МЛАДИХ ЈУВЕНИС,28116365,Глогоњ,9499,04.06.13 01:39,,,,1,,,
"Удружење ""НАПРАВИ КОРАК""",28210043,Старчево,9499,30.08.16 02:04,,,,1,,,
"""Центар за друштвене акције - ЦЕДРА""",28121466,Панчево,9499,15.08.13 01:44,,,,1,,,
"Удружење геронтодомаћица ""Банатске виле"" Панчево",28139772,Панчево,9499,18.03.14 08:40,,,,1,,,
"УДРУЖЕЊЕ ГРАЂАНА ЗА ЕКОЛОШКО ДЕЛОВАЊЕ ""GREEN DAYS""",28141483,Панчево,9499,02.04.14 11:32,,,,1,,,
"МАЂАРСКО КУЛТУРНО - УМЕТНИЧКО ДРУШТВО ""БОНАЗ ШАНДОР"", ИВАНОВО",08781001,Иваново,9499,06.04.11 11:57,,,,1,,,
"Удружење ""ЕКОЛЕКС""",28009631,Панчево,9499,17.03.10 11:20,,,,0,,,
"Удружење ""Пчелица"" Качарево",08869774,Качарево,9499,18.03.10 10:19,,,,0,,,
"Удружење ""Сунчев осмех""",28011911,Панчево,9499,14.04.10 11:28,,,,0,,,
ЛОВАЧКО ДРУШТВО ЗМАЈ,08087342,Јабука,9499,24.06.10 08:53,,,,0,,,
"Удружење грађана "" СУНЦЕ БАНАТА""",08892342,Панчево,9499,24.08.10 12:43,,,,0,,,
"Удружење геодета „Јужни Банат""",28024444,Панчево,9412,01.10.10 03:36,,,,0,,,
УДРУЖЕЊЕМЕДИЦИНСКИХ СЕСТАРА ПРЕДШКОЛСКИХ УСТАНОВА ЈУЖНОБАНАТСКОГ РЕГИОНА,08866821,Панчево,9499,01.10.10 10:38,,,,0,,,
"""ЕКО ГРИН ТИМ""",28025009,Панчево,9499,13.10.10 09:18,,,,0,,,
"Удружење одгајивача голубова српских високолетача ""Мавијан"" Панчево.",28025092,Панчево,9499,15.10.10 11:06,,,,0,,,
"Удружење пољопривредних произвођача ""ТАМИШ""",28026463,Јабука,9499,03.11.10 09:58,,,,0,,,
Пријатељи евро-исламске интеграције,28026714,Панчево,9499,10.11.10 10:07,,,,0,,,
Удружење просветних радника Панчева,08810729,Панчево,9412,05.01.11 10:25,,,,0,,,
Канцеларија за Одрживи Развој Панчево,28038038,Панчево,9499,07.03.11 09:43,,,,0,,,
"""Друштво за развој Долова""",08756422,Долово,9499,07.04.11 09:06,,,,0,,,
"Удружење ""Корак испред""",28059892,Панчево,9499,09.09.11 11:46,,,,0,,,
"Удружење ""Еуклид""",28067879,Панчево,9499,06.12.11 10:07,,,,0,,,
"УДРУЖЕЊЕ ГРАЂАНА ""А ДУНАВ СЕ УЛИВА У ТАМИШ""",28119941,Панчево,9499,18.07.13 10:52,,,,0,,,
"""Војловачка иницијатива""",28125232,Панчево,9499,16.10.13 10:45,,,,0,,,
"""Омладина Европе Панчево""",28133855,Панчево,9499,29.01.14 09:33,,,,0,,,
Удружење грађана Чаробна кућица,28134134,Панчево,9499,30.01.14 08:17,,,,0,,,
"Еколошко друштво ""Пријатељи природе""",28141637,Омољица,9499,03.04.14 09:17,,,,0,,,
"Удружење ""Панчевачки омладински центар""",28145616,Панчево,9499,19.05.14 08:39,,,,0,,,
"""Паметне и Једноставне Комуникације""",28152396,Панчево,9499,28.08.14 07:46,,,,0,,,
"""ДРУШТВО ФИЗИЧАРА ПАНЧЕВО""",28165170,Панчево,9499,13.02.15 08:29,,,,0,,,
"УДРУЖЕЊЕ ЗА ОЧУВАЊЕ БАНАТСКЕ КУХИЊЕ ""БАНАћАНИ""",28171927,Панчево,9499,23.04.15 08:23,,,,0,,,
РАМПАРТ,28172885,Панчево,9499,04.05.15 09:58,,,,0,,,
"Удружење за рурални развој ""Ивановачка ада""",28175272,Иваново,9499,03.06.15 08:34,,,,0,,,
"УДРУЖЕЊЕ ЉУБИТЕЉА ВИНА ""ПАНЧЕВО""",28176163,Панчево,9499,15.06.15 09:08,,,,0,,,
"""Логопедић""",28180632,Панчево,9499,27.08.15 10:29,,,,0,,,
УНИЈА ДИПЛОМИРАНИХ ФИЛОЛОГА,28185073,Панчево,9499,29.10.15 09:08,,,,0,,,
"""ЛОВАЧКО ДРУШТВО МАРЈАНФЕЛД""-ВОЈЛОВИЦА",28192240,Панчево,9499,26.01.16 02:06,,,,0,,,
"УГ ""Панпројекат""",28198035,Панчево,9499,16.03.16 01:57,,,,0,,,
"""ЗА ПРОГРЕСИВНЕ ГРАДОВЕ И ОПШТИНЕ""",28225032,Панчево,9499,10.03.17 02:55,,,,0,,,
"Удружење  ""СиПА""",28227558,Панчево,9499,05.04.17 02:45,,,,0,,,
"""Заједница пословне зграде Његошева 1а Панчево""",28230419,Панчево,9499,16.05.17 08:41,,,,0,,,
Друштвени клуб Добри људи,28230800,Панчево,9499,19.05.17 12:51,,,,0,,,
"""СРБСКО ПРАВОСЛАВНО БРАТСТВО 1389""",28237847,Панчево,9499,21.09.17 11:16,,,,0,,,
Локална акциона група Панчево,28248253,Панчево,9499,06.02.18 11:52,,,,0,,,
"""Чуваркућа""",28250401,Панчево,9499,23.02.18 08:54,,,,0,,,
"Удружење ""Жељана""",28250690,Банатско Ново Село,9499,27.02.18 12:01,,,,0,,,
ХУМАНИТАРНО УДРУЖЕЊЕ ДРУГА ШАНСА,28251661,Панчево,9499,08.03.18 03:04,,,,0,,,
ТХИНК ТЕЦХ,28252803,Панчево,9499,19.03.18 12:51,,,,0,,,
"""ЗАПОСЛЕНИ ЕВ-ЕД ПАНЧЕВО""",28253249,Панчево,9499,23.03.18 11:18,,,,0,,,
"""ЗДРАВА ЈАБУКА""",28254075,Јабука,9499,30.03.18 01:16,,,,0,,,
БЛОЦКЦХАИН СТРЕЕТ,28255250,Панчево,9499,17.04.18 03:03,,,,0,,,
"""Еко креативци""",28255926,Панчево,9499,26.04.18 12:37,,,,0,,,
"СТУДИО ""ПАНУКА""",28257180,Панчево,9499,15.05.18 02:52,,,,0,,,
ЉУБИТЕЉИ ДУНАВА БАНАТСКИ БРЕСТОВАЦ,28262353,Банатски Брестовац,9499,10.08.18 09:06,,,,0,,,
"УДРУЖЕЊЕ ГРАЂАНА ""HUNG KUEN SRB""",28263074,Панчево,9499,28.08.18 11:42,,,,0,,,
"""ФАГОР""",28263163,Панчево,9499,30.08.18 10:47,,,,0,,,
"Центар за очување традиције и културе ""Банатско Ново Село""",28263830,Банатско Ново Село,9499,12.09.18 03:20,,,,0,,,
"УДРУЖЕЊЕ ""ТАНДЕР СТРАЈК""",28270879,Панчево,9499,31.12.18 12:18,,,,0,,,
"УДРУЖЕЊЕ ГРАЂАНА ""ТАМИШКИ ВУК""",28271883,Јабука,9499,18.01.19 09:47,,,,0,,,
ЕКСПЕДИЦИОНИ ДЕФЕНДЕР ТИМ,28276281,Банатско Ново Село,9499,07.03.19 02:17,,,,0,,,
"""ЖИВОТНИЦА место лепих мисли""",28276273,Иваново,9499,07.03.19 02:21,,,,0,,,
"УДРУЖЕЊЕ ГРАЂАНА ""ЗЛАТНИ БАНАТ""",28277539,Старчево,9499,22.03.19 10:29,,,,0,,,
ПАНЧОВА,28278292,Панчево,9499,01.04.19 11:08,,,,0,,,
КРЕАТИВНИ КУТАК ПАНЧЕВО,28278713,Панчево,9499,04.04.19 01:24,,,,0,,,
"Удружење ""Роми Старчева""",28279302,Старчево,9499,15.04.19 11:59,,,,0,,,
ОМЛАДИНСКО УДРУЖЕЊЕ МЛАДИ ЗА МЛАДЕ 013,28280912,Панчево,9499,10.05.19 03:27,,,,0,,,
ОМЛАДИНСКО УДРУЖЕЊЕ РУКА РУЦИ 013,28280904,Панчево,9499,10.05.19 11:28,,,,0,,,
